
TOP 5 CONFIGS (sorted by best_val_accuracy):
==================================================
{'drop_prob': 0.05, 'block_size': 5, 'weight_decay': 0.0001, 'learning_rate': 0.05, 'momentum': 0.85, 'best_val_accuracy': 0.4479, 'final_val_accuracy': 0.4249, 'mean_gap': 0.16833333333333333}
{'drop_prob': 0.15, 'block_size': 3, 'weight_decay': 0.0005, 'learning_rate': 0.05, 'momentum': 0.9, 'best_val_accuracy': 0.447, 'final_val_accuracy': 0.4118, 'mean_gap': 0.09542142857142857}
{'drop_prob': 0.15, 'block_size': 5, 'weight_decay': 0.0005, 'learning_rate': 0.05, 'momentum': 0.9, 'best_val_accuracy': 0.4464, 'final_val_accuracy': 0.4387, 'mean_gap': 0.17830288461538463}
{'drop_prob': 0.1, 'block_size': 5, 'weight_decay': 0.0005, 'learning_rate': 0.05, 'momentum': 0.85, 'best_val_accuracy': 0.4446, 'final_val_accuracy': 0.4391, 'mean_gap': 0.10814583333333334}
{'drop_prob': 0.1, 'block_size': 1, 'weight_decay': 0.001, 'learning_rate': 0.05, 'momentum': 0.9, 'best_val_accuracy': 0.4438, 'final_val_accuracy': 0.4272, 'mean_gap': 0.13958676470588235}
{'drop_prob': 0.15, 'block_size': 1, 'weight_decay': 0.0001, 'learning_rate': 0.05, 'momentum': 0.85, 'best_val_accuracy': 0.4433, 'final_val_accuracy': 0.4419, 'mean_gap': 0.15411875}
{'drop_prob': 0.15, 'block_size': 3, 'weight_decay': 0.001, 'learning_rate': 0.05, 'momentum': 0.9, 'best_val_accuracy': 0.4431, 'final_val_accuracy': 0.4399, 'mean_gap': 0.06622499999999999}
{'drop_prob': 0.1, 'block_size': 1, 'weight_decay': 0.001, 'learning_rate': 0.05, 'momentum': 0.85, 'best_val_accuracy': 0.4427, 'final_val_accuracy': 0.4377, 'mean_gap': 0.12421458333333334}
{'drop_prob': 0.1, 'block_size': 3, 'weight_decay': 0.0005, 'learning_rate': 0.05, 'momentum': 0.9, 'best_val_accuracy': 0.4425, 'final_val_accuracy': 0.4397, 'mean_gap': 0.10021666666666666}
{'drop_prob': 0.1, 'block_size': 1, 'weight_decay': 0.0001, 'learning_rate': 0.05, 'momentum': 0.85, 'best_val_accuracy': 0.4421, 'final_val_accuracy': 0.4262, 'mean_gap': 0.1973096153846154}
{'drop_prob': 0.15, 'block_size': 5, 'weight_decay': 0.001, 'learning_rate': 0.05, 'momentum': 0.9, 'best_val_accuracy': 0.4419, 'final_val_accuracy': 0.4139, 'mean_gap': 0.05957115384615384}
